structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
Weak,Fine,Granular,NA,NA,27704387,33874146
Strong,Medium,Angular blocky,NA,NA,27704385,33874144
Moderate,Medium,Angular blocky,NA,NA,27704538,33874361
Moderate,Medium,Subangular blocky,NA,NA,27704464,33874259
Moderate,Fine,Subangular blocky,NA,NA,27704464,33874260
,,Massive,NA,NA,27704465,33874261
,,Massive,NA,NA,27704724,33874598
Moderate,Fine,Granular,NA,NA,27704890,33874838
Moderate,Medium,Subangular blocky,NA,NA,27704388,33874147
Strong,Medium,Angular blocky,NA,NA,27704386,33874145
Moderate,Fine,Granular,NA,NA,27704463,33874258
Moderate,Medium,Angular blocky,NA,NA,27704539,33874362
Weak,Medium,Subangular blocky,NA,NA,27704541,33874364
Weak,Thick,Platy,NA,NA,27705077,33875092
,,Massive,NA,NA,27705078,33875093
Moderate,Medium,Granular,NA,NA,27704540,33874363
,,Massive,NA,NA,27704725,33874599
Moderate,Medium,Prismatic,1,2,27704891,33874839
Moderate,Medium,Subangular blocky,2,NA,27704891,33874840
